Unnamed: 0,Time,TweetID,UserID,Text,Label,Category,
11124,2015-04-25 12:01:13,591934987605000000,46690875,"Spoke to parents , things fine at Pokhara . Pilgrims who went to Mukthinath are also returning to Pokhara safely . #NepalEarthquake #NepalQuake .",2,0,
27064,2015-04-25 15:56:37,591994229242000000,2735229048,US sending a disaster relief team to #Nepal #NepalEarthquake .,2,0,
4970,2015-04-25 09:54:58,591903216335000000,17926383,#NepalEarthquake what we felt was very scary here a quick help to needy in Nepal .,2,0,
21728,2015-04-25 14:48:01,591976965626000000,999721357,Seriously cold out here and scary !,2,0,
29511,2015-04-25 16:25:30,592001499146000000,2262006949,"Helpline numbers & Person Finder if you have loved ones in #NepalEarthquake #Kathmanduquake , http://t.co/nlFpMCgp1Z http://t.co/72kZ9gHHTV .",2,0,
27325,2015-04-25 16:00:05,591995101708000000,2789640931,"Trending India , 09:30 PM IST , 1 . #NepalEarthquake 2 . #CSKvKXIP 3 . #MIvSRH 4 . #VijayAwards 5 . #HaiderOnZeeCinemaHD 6 . Rail Neer .",2,0,
25348,2015-04-25 15:35:12,591988839214000000,3157027651,List of emergency contacts . Let's try and help as much as we can !,2,0,
20378,2015-04-25 14:28:28,591972043832000000,11656112,"plus four on Nepal-China , Xijang , border . #NepalEarthquake is a BIG one , First one at 1158 latest aftershock at 1921 local , 2/2 .",2,0,
25419,2015-04-25 15:36:10,591989080734000000,60361102,"#NepalEarthquake ==> #Everest , basecamps destroyed , freeze temperature and time is #key , , wait for help , too .",2,0,
26198,2015-04-25 15:46:24,591991655592000000,2278760659,1500 confirmed dead in #NepalEarthquake so far . It keeps rising every hour . What a monstrous calamity . #IndiaWithNepal .,2,0,
29129,2015-04-25 16:20:55,592000343502000000,33502398,"#NepalEarthquake If you are in the U.S. , concerned about a U.S. citizen . Call 1-888-407-4747 #C3N .",2,0,
10171,2015-04-25 11:44:20,591930740449000000,3083516624,At least 565 people have been killed in the #NepalEarthquake !,2,0,
1541,2015-04-25 08:33:53,591882811483000000,89884844,Sherpas report avalanches on Everest . #nepalearthquake .,2,0,
20569,2015-04-25 14:31:27,591972796181000000,288177542,#NepalEarthquake Country Rep. in the Nepalese capital at at 5pm . Rescue teams help who is trapped in collapsed buidings .,2,0,
21502,2015-04-25 14:45:26,591976314821000000,107987513,2 choppers which took off from Gorakhpur for Nepal are returning due to bad weather . #NepalEarthquake .,2,0,
11761,25-04-15 12:11,591938000000000000,23869967,"news from #Kalimpong #sikkim we felt powerful tremors , lasted only couple of seconds . No damages/casualty . #NepalEarthquake .",2,0,
11407,2015-04-25 12:05:50,591936151399000000,3016903869,"MEA 24 hour Control Room numbers are , +91 11 2301 2113 +91 11 2301 4104 +91 11 2301 7905 #earthquake #NepalEarthquake #india .",2,0,
2419,2015-04-25 08:57:59,591888877860000000,98057848,"#earthquake #helpline at the Indian embassy in #Kathmandu , +977 98511 07021 , +977 98511 35141 #NepalEarthquake .",2,0,
15753,2015-04-25 13:18:16,591954380695000000,892369238,"24 hour Control Room #NepalEarthquake . Numbers , +91 11 2301 2113 +91 11 2301 4104 +91 11 2301 7905 #earthquake .",2,0,
4565,2015-04-25 09:44:43,591900635320000000,1841736775,"MEA 24 hour Control Room for queries regarding #NepalEarthquake . Numbers , +91 11 2301 2113 +91 11 2301 4104 +91 11 2301 7905 .",2,0,
7026,2015-04-25 10:43:22,591915396250000000,278551481,First plane with relief supplies has left for Nepal #NepalEarthquake .,2,0,
7520,2015-04-25 10:52:24,591917668930000000,1447124034,Calling for immediate disaster response to support #NepalEarthquake . Please help #Nepal !!,2,0,
730,2015-04-25 08:10:28,591876916145000000,139684228,Gurgaon also felt #earthquake but help #NepalEarthquake disaster .,2,0,
8732,2015-04-25 11:18:07,591924141135000000,433890464,Words fail me . You cannot make this shit up . #NepalEarthquake https://t.co/2lP0owAeVx .,2,0,
29915,2015-04-25 16:30:42,592002806691000000,347982986,"#NepalEarthquake , Emergency Contact numbers , Kindly share http://t.co/mFCBfqW5gU .",2,0,
23682,2015-04-25 15:14:08,591983539199000000,796880959,Spent time there & trekked Himalayas . Incredibly beautiful people&country . Sending love & prayers . Send Int'l help !,2,0,
23891,2015-04-25 15:16:24,591984106332000000,1509889098,Evidence of #BMO #Volkswagen can be # in #NepalEarthquake #BruceJennerABC w me & U in #NASCAR !,2,0,
25217,2015-04-25 15:33:25,591988392093000000,403304328,Death toll reaches up to 1500 in Nepal . May God give strength and patience to the affected . #NepalEarthquake .,2,0,
